Company,Cluster,Industry
BF621@3c51E4161,17,Materials
D987a055_42eb1F,15,Health Care
9c1d76D36$56d22,3,Real Estate
7$AE48bA819750B,17,Consumer Staples
4-7fd98DF8b8BBb,20,Industrials
4417e61767eD-72,23,Materials
7182adE71^c1a13,7,Financials
474a884F46+9885,18,Real Estate
5C379e3A9a1F7-3,32,Energy
9e9BEa85a1020_8,3,Energy
9&CE3E48800dE61,8,Information Technology
DB7738Dd*00f5B6,2,Information Technology
72880Feefb49^72,7,Consumer Discretionary
98Cbd787Fb75#aa,15,Health Care
1D6C0ee3#c3D605,19,Industrials
fd31D04f0&4Dd7d,15,Health Care
40aD685A05760%9,18,Consumer Discretionary
0a34f89A1C620_9,43,Industrials
-CC9a74BA2874d6,2,Real Estate
34ab14657b&8391,28,Financials
c447E84*dDcc7F4,17,Materials
2ef395bF-E359d4,24,Real Estate
539a9e204B1af_f,29,Real Estate
D+235eF0726CA6f,32,Utilities
b0f37AA0%86c7ab,10,Financials
bF07c#6e4eB1F30,2,Information Technology
c0&d36C19b7d9d9,17,Consumer Staples
48E1D15941!9aca,7,Financials
52+920aC8cC5ef8,32,Consumer Staples
0&adaeD3D4FF34e,15,Health Care
8B&501A73850c7b,14,Communication Services
94$e61e36d98465,12,Consumer Discretionary
C4901acAc8C5F^5,17,Consumer Staples
739fdbb243d$B55,2,Information Technology
6eB86ad4=716CDd,12,Consumer Discretionary
a06E77bF_F26897,30,Industrials
80760B03-9ba917,9,Industrials
87A8621$e2a41Ce,15,Health Care
e87f512D-8E6f53,32,Energy
e$423318C26387E,3,Materials
0e77Df3C3%f7D7B,7,Real Estate
B318f90B5cF@9C2,7,Industrials
1c12!956d29c008,15,Health Care
6f&89534A135837,3,Real Estate
31+68Af862226a2,34,Communication Services
a5D4Ede8E53!8C3,23,Industrials
747690Fe89^51d1,15,Health Care
F5&fE16ffdaa61F,25,Consumer Staples
74C28463adcb&0b,2,Information Technology
872c=105d2A26Ee,9,Utilities
+426EE2573E674D,10,Financials
8F9026C22787%31,29,Financials
60ec50-293D9d6d,12,Consumer Staples
faB194be0af64_7,17,Materials
2fAF60d%caBb45f,17,Real Estate
91B71_5EC7064b4,34,Consumer Discretionary
521dfE668917=91,32,Energy
2C%470D5184A012,20,Utilities
@211931a5313f60,2,Information Technology
A1B581Aa109@7ff,15,Health Care
263DDB3e9A7_d2B,21,Information Technology
4078f4A5372@E7F,11,Financials
5dd45A$a9f4cA80,15,Health Care
A&1E5DC4fc5b701,59,Industrials
4_D3EbeED1373f3,8,Information Technology
42F59029*c3805d,15,Health Care
F9f&8F86013896B,15,Health Care
^1354E733267102,5,Information Technology
f7B8245d%d527C3,5,Information Technology
dFb6275d0D914*5,8,Information Technology
5-787Af1A41839B,3,Information Technology
8F&32dE3c6AD8fD,5,Information Technology
dd!0Dad1aBD0446,17,Utilities
A&1E5DC4fc5b701,59,Financials
dEdcfB282FBd1+4,25,Financials
0C51ffEdcBC7&6C,22,Materials
20DAEBD30&dcCa7,16,Industrials
0F8a7471^2b22C6,15,Health Care
A&1E5DC4fc5b701,59,Real Estate
95=70e2ebf2231F,6,Materials
a43F0FB#6ad4115,2,Consumer Discretionary
e9a8B0%c9982F99,8,Real Estate
85b8Cd6d@887282,23,Industrials
8E4-1f2DA9aC7d2,47,Real Estate
d#543951509Dcd6,2,Information Technology
A&1E5DC4fc5b701,59,Financials
e41=45E6c0C971d,12,Consumer Discretionary
6c94BbbeAE6&e5E,23,Financials
00#Dcce034a91e2,32,Energy
cF1D7E675c6b^32,15,Health Care
51bb50A66CAddD@,24,Financials
81Baca!3507542C,36,Consumer Staples
2522B34C_3a1d49,15,Health Care
DB7b15a79*6F1bc,24,Communication Services
a=a0589c5280044,7,Real Estate
8423C629477613$,34,Consumer Discretionary
f_F131114345EcD,15,Health Care
43!Bdf25d880A7B,43,Consumer Staples
2DF7A32278e97+0,29,Health Care
6#C79215e8A7b50,4,Communication Services
41D9*66E0C2abC2,7,Financials
